"user_id","num_sessions","total_page_clicks","avg_session_duration_min","num_flights_booked","num_hotels_booked","avg_flight_price","avg_hotel_price_per_night","avg_trip_nights","avg_total_discount","user_age","customer_age_months"
"220725","9","316","15.81","5","4","484.58","125.00","3.8","","41","10"
"510067","9","118","1.61","3","4","404.53","190.00","3.3","","49","3"
"549777","8","109","1.66","1","1","533.85","45.00","2.0","","30","2"
"518041","8","114","1.78","0","1","","115.00","4.0","","20","3"
"508912","8","271","14.27","4","3","260.32","87.67","1.3","","44","3"
"606635","8","154","2.36","2","2","433.03","211.00","4.5","","46","2"
"526445","9","158","2.19","2","3","260.02","116.67","1.3","0.13","50","3"
"566749","8","53","0.83","0","0","","","","0.45","22","2"
"515409","8","167","2.59","3","3","577.34","140.00","1.7","","46","3"
"516556","8","103","1.60","1","1","313.91","241.00","3.0","","38","3"
"501794","8","134","2.08","4","4","188.11","102.75","4.3","","44","3"
"519853","8","89","1.37","2","1","252.80","290.00","2.0","","43","3"
"552653","9","293","14.94","3","3","58.78","117.33","3.3","","60","2"
"524080","10","147","1.84","4","3","527.79","111.67","3.7","0.30","36","3"
"592372","8","117","1.84","2","1","3769.69","394.00","1.0","","18","2"
"525176","8","226","3.48","1","1","117.16","244.00","0.0","","71","3"
"523771","8","99","1.53","1","3","455.43","171.33","7.0","","37","3"
"524880","8","79","1.24","0","0","","","","","42","3"
"512024","8","164","2.53","1","2","2038.42","162.00","5.5","0.20","33","3"
"584787","9","369","15.66","2","3","130.73","123.00","9.5","0.15","66","2"
"528455","9","110","1.52","3","3","592.39","206.33","6.3","0.30","48","3"
"557134","8","126","1.95","2","5","122.33","226.40","6.8","","57","2"
"530797","8","176","2.72","2","2","370.47","116.50","1.5","","26","3"
"558506","8","67","1.03","2","2","83.88","210.00","1.0","","56","2"
"563165","9","98","1.36","2","2","232.28","191.00","4.5","0.30","55","2"
"560747","8","155","2.39","4","3","305.67","205.33","1.7","","43","2"
"581858","8","150","2.31","2","1","507.97","55.00","1.0","","48","2"
"499379","9","137","1.88","1","2","499.23","133.50","3.0","0.15","66","3"
"540654","8","155","2.41","4","4","471.21","130.00","2.5","","50","3"
"578396","8","72","1.12","1","3","690.99","225.67","5.0","0.20","56","2"
"548990","8","106","1.65","1","2","687.54","58.50","4.0","","33","2"
"585965","8","105","1.61","3","3","267.20","125.00","3.0","","49","2"
"356046","8","101","1.57","2","2","391.91","97.50","2.0","","35","6"
"563343","8","100","1.53","1","2","278.37","210.00","3.0","","67","2"
"520902","9","136","1.87","4","4","402.08","159.25","2.0","","40","3"
"513103","8","130","2.05","3","3","611.31","130.00","2.3","","33","3"
"525056","8","116","1.82","4","4","686.83","185.00","3.5","","38","3"
"464782","8","96","1.50","1","2","52.17","113.00","2.0","","48","4"
"516933","8","103","1.61","3","1","604.73","137.00","1.0","","18","3"
"377069","8","260","15.94","2","1","926.67","","","","69","5"
"581409","8","100","1.53","3","2","668.41","290.00","2.5","","39","2"
"579065","8","145","2.24","4","4","254.11","203.50","3.5","","51","2"
"526239","9","95","1.32","1","2","628.62","76.00","10.0","","38","3"
"549623","8","128","2.00","4","4","292.97","203.25","1.3","","39","2"
"580622","8","64","1.00","0","0","","","","","69","2"
"543723","8","104","1.61","0","0","","","","","59","3"
"672112","8","103","1.59","2","3","245.42","110.00","5.0","0.15","51","1"
"590829","8","160","2.48","2","3","276.01","123.67","3.0","","44","2"
"521065","8","292","16.43","5","3","493.71","206.00","1.0","0.40","45","3"
"647674","8","122","1.88","3","4","361.67","174.00","1.8","","37","1"
"524012","8","163","2.53","3","4","169.59","165.00","4.8","","43","3"
"552558","8","150","2.33","2","4","444.14","131.25","4.3","","53","2"
"567518","9","171","2.35","2","3","161.34","177.00","4.7","","56","2"
"669356","8","117","1.83","1","1","391.43","141.00","5.0","","46","1"
"629803","8","157","2.41","3","2","453.80","163.00","2.5","","42","1"
"581901","8","134","2.07","4","4","315.61","286.75","1.8","","54","2"
"528186","8","147","2.28","4","4","315.72","214.50","1.8","","44","3"
"513625","8","198","15.21","3","2","832.01","110.00","2.0","","29","3"
"216796","8","125","8.19","2","2","2500.87","241.00","10.0","","23","10"
"537413","9","214","3.94","5","3","331.30","168.67","3.3","","49","3"
"630738","9","166","2.31","3","2","172.63","96.00","4.0","0.20","44","1"
"528164","8","160","2.49","5","3","517.14","127.00","4.0","","48","3"
"469767","8","220","3.40","4","4","400.90","174.00","2.0","","49","4"
"539307","8","131","2.03","0","0","","","","","39","3"
"636520","8","79","1.24","1","1","1253.01","345.00","6.0","","52","1"
"534254","9","110","1.51","1","1","573.05","186.00","3.0","","24","3"
"528909","8","92","1.41","0","2","","351.00","11.5","","18","3"
"563507","8","125","1.95","4","3","598.89","165.33","1.3","","39","2"
"559176","8","171","2.65","1","2","544.33","188.50","2.0","","65","2"
"514675","9","116","1.59","3","3","390.43","168.67","2.0","","52","3"
"562010","8","129","1.98","5","3","441.05","101.00","1.0","","42","2"
"535003","9","88","1.22","0","0","","","","","58","3"
"523335","8","126","1.96","3","2","185.68","178.00","5.0","","30","3"
"519897","8","58","0.91","0","0","","","","","19","3"
"506186","8","224","3.46","2","2","389.88","108.50","3.0","","26","3"
"573584","8","181","2.80","1","1","210.10","82.00","3.0","0.15","39","2"
"573704","8","152","2.36","5","5","419.90","183.60","2.8","","48","2"
"669140","9","63","0.88","1","2","228.64","53.00","2.5","0.20","64","1"
"542153","8","100","1.58","2","2","517.45","248.00","2.5","","49","3"
"565377","8","104","1.62","3","4","398.60","179.25","5.5","","43","2"
"557794","8","108","1.67","4","3","397.78","181.67","3.7","","47","2"
"555773","8","251","15.81","2","1","1765.08","","","","23","2"
"637086","9","182","2.49","3","4","431.46","255.75","3.0","0.20","46","1"
"585310","8","109","1.69","3","3","375.50","285.00","2.0","","36","2"
"463867","8","125","1.97","2","2","250.76","137.50","1.0","","32","4"
"564219","9","232","3.21","3","4","235.95","194.00","3.3","","43","2"
"531989","8","140","2.20","2","3","1390.04","159.67","5.0","","55","3"
"535497","8","55","0.87","0","0","","","","","35","3"
"537212","8","113","1.74","1","2","212.03","88.50","3.5","0.20","22","3"
"547862","8","142","2.20","3","4","162.66","199.25","4.8","","48","2"
"515735","9","91","1.25","1","1","517.22","119.00","0.0","","64","3"
"555484","8","173","2.69","4","5","363.55","241.80","4.6","","40","2"
"741902","8","99","1.55","1","1","432.76","276.00","1.0","","48","0"
"511666","8","150","2.33","2","3","199.98","155.00","5.7","","51","3"
"564962","8","145","2.27","4","4","508.52","183.50","1.5","","54","2"
"551729","8","93","1.43","1","1","540.81","146.00","1.0","","18","2"
"587459","8","151","2.36","4","2","354.27","149.50","1.0","","49","2"
"523735","9","171","2.34","3","4","1123.05","88.50","5.5","","56","3"
"563012","8","95","1.48","0","1","","142.00","9.0","","25","2"
"599909","8","68","1.06","0","0","","","","","30","2"
"522402","8","97","1.49","3","2","164.46","194.50","1.0","","45","3"
"667916","9","137","1.89","3","2","639.88","168.50","3.0","","48","1"
"531253","8","189","2.91","4","5","1012.60","164.80","3.6","","52","3"
"585522","8","97","1.51","0","0","","","","","68","2"
"520182","8","101","1.58","3","1","457.03","355.00","6.0","","44","3"
"575433","8","167","2.58","2","3","545.17","346.33","2.7","","57","2"
"507759","8","95","1.48","3","3","267.99","160.67","2.3","","50","3"
"520882","8","62","0.96","0","1","","130.00","6.0","","19","3"
"544839","8","73","1.14","3","2","332.12","83.50","1.5","","46","3"
"347778","9","162","2.22","5","4","846.74","226.75","2.3","","50","6"
"574840","8","97","1.51","3","2","394.05","364.00","3.5","0.35","40","2"
"532730","8","87","1.34","1","2","184.45","204.00","8.0","","18","3"
"521509","8","182","2.81","4","4","309.86","200.50","3.3","","56","3"
"621113","8","169","2.60","0","0","","","","","30","1"
"512289","8","111","1.71","2","1","471.85","203.00","4.0","","66","3"
"519896","9","247","3.41","3","3","2044.59","193.00","9.0","","48","3"
"582586","8","51","0.79","0","0","","","","","89","2"
"568155","8","102","1.57","0","1","","197.00","13.0","","23","2"
"525234","8","298","16.51","4","5","632.57","330.80","6.0","","55","3"
"574489","8","110","1.71","2","2","464.05","244.00","2.0","","53","2"
"558659","8","69","1.07","1","1","673.16","54.00","2.0","","44","2"
"612797","8","105","1.62","1","1","170.91","542.00","1.0","","54","1"
"187212","8","128","1.98","3","3","414.19","217.33","2.0","","56","11"
"580658","8","112","1.74","3","3","218.54","123.67","2.3","","47","2"
"673874","8","158","2.45","1","1","868.71","121.00","11.0","0.40","51","1"
"640867","9","422","16.37","4","4","277.23","329.75","2.5","","52","1"
"514503","8","94","1.46","0","2","","244.50","11.0","","23","3"
"531471","9","179","2.46","4","3","412.15","124.33","2.3","","46","3"
"690420","8","460","19.03","5","5","449.87","99.80","1.6","","56","0"
"474951","10","164","2.02","5","5","421.61","112.20","1.4","","38","4"
"669329","8","95","1.48","1","2","968.62","368.00","9.0","","33","1"
"536086","8","117","1.79","3","3","832.87","246.33","1.3","","55","3"
"573922","8","105","1.64","2","2","328.23","90.50","6.0","","42","2"
"559461","8","114","1.78","0","0","","","","","26","2"
"511122","8","112","1.73","2","2","94.47","186.50","2.0","","48","3"
"516290","8","178","2.74","2","3","389.97","188.67","4.3","","46","3"
"596409","8","136","2.13","2","2","395.57","108.50","1.5","0.28","48","2"
"542230","10","124","1.54","1","1","1311.98","250.00","4.0","","49","3"
"590967","9","179","2.46","5","5","387.42","233.40","4.2","0.30","47","2"
"545518","8","234","15.79","5","5","570.47","123.20","4.6","","46","2"
"533782","8","102","1.58","2","3","924.12","139.33","4.3","","54","3"
"538279","9","133","1.83","3","3","795.98","186.00","3.0","","50","3"
"465568","8","90","1.39","0","1","","219.00","3.0","0.20","50","4"
"579829","8","130","2.03","3","3","444.89","165.00","1.0","0.35","60","2"
"513438","8","122","1.90","1","1","348.10","618.00","12.0","","52","3"
"623949","8","110","1.71","3","3","95.76","161.67","4.7","","48","1"
"512693","8","200","3.09","4","4","182.56","126.50","3.5","","38","3"
"555492","8","111","1.73","2","1","230.05","178.00","0.0","","51","2"
"504859","8","84","1.31","1","2","234.11","207.50","4.0","0.30","27","3"
"661614","8","78","1.20","0","1","","297.00","8.0","0.20","69","1"
"561945","8","165","2.56","1","1","515.23","103.00","1.0","0.15","28","2"
"480690","8","158","2.45","4","4","212.15","237.50","2.3","","48","4"
"401245","8","120","1.86","3","2","317.27","127.00","3.0","","29","5"
"520358","8","107","1.66","3","4","265.60","130.25","3.5","","51","3"
"616491","8","147","2.25","3","3","106.18","326.67","3.0","","51","1"
"521343","9","181","2.51","5","3","153.81","286.67","1.3","0.10","37","3"
"614033","8","135","2.06","2","2","1351.29","218.50","2.5","0.23","40","1"
"739518","8","108","1.69","3","2","489.30","278.00","4.5","","41","0"
"636966","8","93","1.43","2","3","944.29","222.33","3.3","","37","1"
"540150","8","172","2.67","2","2","344.16","132.00","3.0","0.10","36","3"
"521818","8","142","7.49","3","3","1837.52","102.00","8.3","","18","3"
"540244","8","180","2.78","4","3","424.38","182.00","2.0","0.25","39","3"
"515271","8","134","2.08","3","3","460.20","119.00","0.7","","57","3"
"559277","8","185","2.83","1","4","568.65","175.75","6.5","0.35","31","2"
"540664","8","100","1.55","2","1","401.26","235.00","3.0","","35","3"
"385689","8","92","1.43","3","4","431.44","187.00","4.0","","50","5"
"543713","8","91","1.40","2","3","297.17","195.67","6.3","","36","3"
"558988","8","179","2.79","3","3","471.94","318.67","5.7","0.25","63","2"
"568064","8","143","2.20","2","2","415.00","149.00","10.5","0.15","47","2"
"556714","8","94","1.45","2","2","311.13","138.00","1.0","","39","2"
"553245","8","131","2.02","1","1","85.66","188.00","11.0","0.15","27","2"
"527393","8","132","2.04","2","2","313.03","197.00","2.5","","33","3"
"530427","8","222","3.45","2","3","635.34","140.00","2.7","","46","3"
"525722","9","184","2.54","5","4","302.85","219.75","1.0","0.15","51","3"
"513823","8","79","1.23","0","0","","","","0.20","46","3"
"664663","9","124","1.71","4","5","160.11","105.60","2.6","0.20","31","1"
"554885","8","191","2.96","5","5","385.99","254.80","3.2","","38","2"
"622343","8","288","11.96","3","2","282.73","246.00","2.0","","47","1"
"471077","8","157","2.47","6","5","325.83","185.00","1.0","","58","4"
"520603","8","64","1.01","0","0","","","","","26","3"
"557726","8","292","16.44","3","1","3112.53","","","0.25","50","2"
"708887","8","70","1.09","0","2","","304.50","13.5","","23","0"
"557992","9","74","1.03","0","0","","","","","59","2"
"602769","9","226","5.13","6","6","301.20","172.83","1.7","","39","2"
"400582","8","125","1.94","3","4","215.63","270.50","2.3","","33","5"
"438937","8","96","1.51","2","2","332.67","308.50","2.0","0.20","38","4"
"539414","8","121","1.86","2","3","229.21","210.33","4.7","0.25","37","3"
"505771","9","133","1.84","5","4","395.60","199.50","1.0","","56","3"
"710523","8","87","1.36","0","0","","","","","18","0"
"602598","8","140","2.18","3","4","319.01","117.50","3.5","","32","2"
"516571","8","90","1.40","2","3","1561.67","211.33","4.0","","65","3"
"524167","8","167","2.59","4","4","311.97","337.50","1.8","","42","3"
"519961","9","149","2.04","3","3","282.44","168.00","1.7","0.10","31","3"
"530754","9","177","2.43","4","4","586.44","152.25","4.5","","38","3"
"537586","8","110","1.72","3","3","287.26","145.67","2.0","0.25","47","3"
"590843","8","69","1.07","0","2","","140.50","12.0","","36","2"
"689624","8","130","2.05","3","2","458.69","171.00","8.0","","29","0"
"546888","8","295","16.47","3","2","2063.82","401.00","6.0","","30","2"
"525265","9","183","2.49","3","3","465.29","117.33","1.7","","47","3"
"523686","8","130","2.04","2","2","455.06","275.50","1.5","0.15","43","3"
"550298","8","152","2.37","0","1","","66.00","8.0","","24","2"
"513241","8","50","0.77","0","0","","","","","37","3"
"516351","8","115","1.79","3","3","260.85","138.33","3.3","","43","3"
"583120","8","281","16.26","3","2","3261.68","191.00","3.0","","54","2"
"540306","8","111","1.73","3","3","353.80","148.00","1.7","","31","3"
"582833","8","163","2.54","2","1","418.50","167.00","1.0","","44","2"
"572826","8","148","2.29","1","2","365.00","232.50","3.5","","44","2"
"555990","8","101","1.57","0","1","","137.00","4.0","","75","2"
"594027","8","204","5.18","3","4","679.11","157.75","3.0","","35","2"
"508892","8","155","2.41","3","3","397.51","301.67","2.3","","35","3"
"529502","8","171","2.64","3","3","610.84","212.00","2.0","0.30","40","3"
"562516","8","35","0.55","0","0","","","","","18","2"
"569458","8","215","3.31","1","1","98.49","131.00","7.0","","33","2"
"522420","9","164","12.32","2","2","2390.41","51.00","10.0","","32","3"
"605439","8","134","2.10","2","2","499.75","248.00","4.5","","41","2"
"522426","8","182","2.81","4","4","129.58","51.50","1.3","","44","3"
"587810","8","174","2.68","3","2","365.47","340.00","4.0","","54","2"
"525377","9","171","2.36","0","0","","","","","27","3"
"376159","8","102","1.59","1","2","367.24","127.50","3.0","","43","5"
"585231","8","106","1.62","0","0","","","","","50","2"
"542937","8","147","2.27","5","5","431.53","194.40","2.0","","37","3"
"651613","10","180","2.23","4","4","391.32","202.25","2.5","","55","1"
"488865","8","100","1.54","3","3","191.70","107.00","3.0","","36","3"
"181157","8","153","2.35","3","3","346.48","162.33","3.3","","54","11"
"563853","8","399","18.10","4","3","325.91","142.33","1.7","","29","2"
"529972","8","109","1.69","2","3","706.80","99.67","11.7","","56","3"
"531094","8","110","1.69","3","3","328.49","168.67","2.7","0.20","29","3"
"524940","8","112","1.74","0","1","","617.00","4.0","","27","3"
"522134","8","42","0.65","0","0","","","","","18","3"
"525879","8","120","1.88","4","4","163.05","224.50","3.5","","39","3"
"565755","8","94","1.45","1","1","228.13","456.00","0.0","","33","2"
"522809","8","175","2.69","1","1","565.09","385.00","3.0","","54","3"
"508050","8","135","2.11","4","3","401.57","191.67","10.7","0.10","47","3"
"527455","8","292","16.40","3","2","3280.67","83.00","6.0","","29","3"
"529787","8","139","2.16","4","3","243.38","92.33","2.0","","50","3"
"552732","8","146","2.27","2","2","457.49","367.00","3.5","","45","2"
"524419","9","78","1.07","2","1","289.06","351.00","3.0","","75","3"
"502212","8","94","1.46","1","1","715.35","92.00","1.0","","26","3"
"471717","8","111","1.70","3","3","254.82","209.67","1.3","","47","4"
"510459","8","157","2.45","3","3","274.88","129.00","2.3","","31","3"
"542196","8","72","1.14","1","1","51.18","64.00","12.0","","59","3"
"552661","8","134","2.10","3","3","175.35","123.00","3.3","","31","2"
"515124","8","416","19.13","5","5","526.58","128.60","1.4","","51","3"
"544698","8","90","1.40","0","1","","127.00","5.0","","37","3"
"590163","9","133","1.84","3","4","344.10","163.50","3.5","","42","2"
"603296","8","81","1.25","3","1","272.01","192.00","0.0","","42","2"
"548853","8","88","1.34","2","2","580.49","259.00","3.0","","54","2"
"545754","8","106","1.64","0","0","","","","0.30","22","2"
"663017","9","139","1.91","4","4","559.84","222.25","3.8","","41","1"
"671066","8","179","2.76","1","1","97.51","92.00","6.0","","50","1"
"447591","8","144","2.23","1","1","245.00","229.00","1.0","","23","4"
"542012","8","139","2.17","3","3","336.65","277.00","2.3","","46","3"
"498500","8","327","16.95","3","4","617.80","139.50","3.0","0.20","51","3"
"510841","10","396","13.42","9","9","553.44","155.00","2.0","","38","3"
"378565","8","136","2.12","2","5","354.82","144.60","8.8","","41","5"
"521009","10","100","1.24","0","1","","109.00","4.0","","69","3"
"536574","8","133","2.04","3","4","399.33","164.50","4.5","","53","3"
"540924","8","140","2.17","0","3","","205.00","9.3","","48","3"
"502850","8","76","1.18","0","0","","","","0.15","42","3"
"551032","8","127","1.99","3","3","272.49","159.67","5.7","","36","2"
"527280","9","94","1.31","1","1","610.30","205.00","4.0","","48","3"
"544012","8","162","2.53","3","4","97.02","174.50","3.0","","49","3"
"553901","8","100","1.56","2","3","445.99","206.67","6.7","0.35","56","2"
"481772","8","157","2.42","1","2","99.92","201.00","17.0","","34","4"
"732729","8","175","2.73","3","5","236.04","165.00","3.8","0.25","43","0"
"529678","9","253","3.48","3","3","692.69","226.00","2.0","","42","3"
"532233","9","92","1.26","3","2","1077.19","156.50","3.0","","44","3"
"407250","8","143","2.22","4","3","478.64","108.33","3.0","","37","5"
"609243","8","133","2.08","2","3","578.47","207.67","5.0","","38","2"
"519211","8","131","2.05","4","5","396.06","103.80","3.4","","37","3"
"558395","8","164","2.52","0","1","","136.00","9.0","","36","2"
"502626","8","98","1.54","2","2","260.62","185.50","2.0","","39","3"
"519254","8","152","2.36","6","7","561.36","158.14","2.7","","32","3"
"516418","8","150","2.33","2","3","606.76","107.67","4.0","0.20","28","3"
"557298","8","115","1.77","2","2","278.14","105.00","3.0","0.20","47","2"
"565464","8","106","1.65","2","2","365.17","112.00","2.0","0.25","47","2"
"544685","8","330","17.02","3","3","2483.54","117.00","10.7","","37","3"
"550193","8","203","3.13","0","1","","64.00","2.0","","61","2"
"481358","8","75","1.16","1","0","9.27","","","","19","4"
"507435","8","120","1.86","4","4","328.11","181.00","2.5","","54","3"
"479101","8","176","2.73","1","1","128.63","143.00","1.0","","36","4"
"532063","9","214","2.97","6","6","241.87","226.83","1.2","","54","3"
"478291","8","135","2.09","2","2","401.16","247.00","0.5","","47","4"
"416580","8","320","15.47","5","5","306.34","134.00","2.6","","44","5"
"513006","10","199","2.47","2","2","664.39","113.50","4.0","","59","3"
"531987","9","107","1.48","2","1","350.11","212.00","3.0","","36","3"
"509419","8","143","2.24","4","4","446.83","137.50","1.3","","42","3"
"517739","8","61","0.96","1","1","114.12","223.00","5.0","","27","3"
"512201","8","149","2.30","4","3","518.44","178.67","4.0","0.20","53","3"
"510022","8","120","1.84","3","3","363.42","239.00","1.3","","54","3"
"586774","8","93","1.44","3","3","320.35","148.33","1.7","","41","2"
"585187","8","160","2.45","3","3","337.59","99.33","1.3","0.30","57","2"
"527197","8","70","1.07","2","3","677.75","180.00","8.0","","26","3"
"469418","8","75","1.16","0","0","","","","","26","4"
"571610","8","173","2.71","1","1","766.31","52.00","4.0","","18","2"
"542065","8","292","16.44","3","3","2882.81","286.00","5.7","0.20","49","3"
"541539","9","105","5.18","2","1","597.31","","","","18","3"
"538529","8","188","2.91","3","3","249.95","179.33","2.0","","41","3"
"595414","8","162","2.47","4","4","298.48","122.25","3.8","0.20","49","2"
"560680","8","263","13.72","2","2","102.49","92.00","1.0","","49","2"
"520480","8","106","1.64","3","2","703.14","63.50","4.5","","39","3"
"513568","8","82","1.28","1","2","1185.97","130.00","5.0","","61","3"
"514589","8","113","1.75","1","1","374.73","290.00","2.0","","48","3"
"518422","8","146","2.25","0","1","","113.00","3.0","","60","3"
"510585","8","100","1.55","1","1","1134.86","239.00","13.0","","18","3"
"584912","8","107","1.67","4","3","458.26","183.33","1.7","","38","2"
"508860","8","88","1.36","2","2","85.51","208.00","1.5","","29","3"
"635790","8","122","1.87","4","2","519.55","173.50","1.5","","49","1"
"547006","8","286","16.35","2","2","2671.44","246.00","10.0","","74","2"
"510356","8","101","1.58","2","2","282.67","127.50","3.5","","52","3"
"519079","8","146","2.27","4","4","476.20","208.50","5.5","0.15","50","3"
"602476","8","145","2.28","3","4","358.68","238.75","4.0","","36","2"
"442833","8","132","2.03","4","4","641.56","240.25","1.0","","40","4"
"595527","8","86","1.35","2","3","1259.85","129.67","5.7","","32","2"
"526154","8","122","1.89","3","3","157.76","110.67","3.0","","39","3"
"585138","8","53","0.83","0","0","","","","0.20","67","2"
"589995","8","140","2.19","3","2","318.58","154.00","0.5","0.25","51","2"
"567906","9","173","2.39","3","2","280.71","219.50","3.0","","41","2"
"550222","8","133","2.06","3","3","497.48","278.67","2.7","","35","2"
"538432","8","125","1.96","4","4","316.06","126.25","2.3","","49","3"
"532835","8","79","1.25","1","1","630.46","91.00","3.0","0.33","43","3"
"598306","8","218","3.37","2","2","768.21","175.50","4.0","","49","2"
"525611","8","186","2.90","4","5","398.42","155.20","5.2","","40","3"
"619615","8","130","2.01","4","4","384.93","204.25","1.5","0.55","50","1"
"528490","9","180","2.45","4","4","688.61","116.00","1.8","","43","3"
"544495","8","152","3.78","3","3","2999.23","157.50","2.0","0.50","65","3"
"534604","8","95","1.47","1","0","1100.77","","","","27","3"
"621081","9","143","1.98","3","3","505.41","118.33","1.7","","60","1"
"566338","8","65","1.01","1","1","462.85","208.00","1.0","","44","2"
"512322","8","187","2.90","4","4","635.58","153.50","2.3","","45","3"
"553805","8","118","1.81","2","2","458.68","256.00","0.5","","50","2"
"577984","8","135","2.08","3","3","373.21","215.00","3.7","","48","2"
"535081","8","116","1.80","2","4","204.13","152.50","4.5","","40","3"
"617606","8","94","1.46","0","0","","","","","71","1"
"531144","8","128","2.00","3","3","345.85","234.00","1.3","","56","3"
"527452","8","99","1.53","2","2","531.06","104.00","4.5","0.20","44","3"
"533449","9","124","1.71","1","1","814.84","151.00","1.0","0.35","19","3"
"518931","8","77","1.20","0","0","","","","","18","3"
"571637","8","111","1.70","2","2","593.59","96.00","8.5","","42","2"
"526367","8","138","2.15","2","3","328.09","272.67","11.3","","45","3"
"511433","9","120","1.66","4","4","502.09","123.50","4.5","","51","3"
"515580","8","188","2.92","3","4","390.64","126.25","5.3","","46","3"
"503973","9","222","3.06","3","3","151.16","133.33","3.3","0.20","46","3"
"556533","8","83","1.30","2","3","348.72","137.33","4.7","0.15","43","2"
"587470","8","98","1.55","1","1","198.72","105.00","6.0","","57","2"
"651828","9","112","1.54","1","2","2081.78","57.00","4.5","","43","1"
"485894","8","114","1.76","2","3","359.74","297.67","5.0","","43","3"
"530383","8","126","1.96","3","2","395.21","99.50","2.5","0.20","32","3"
"514526","8","254","3.94","5","5","327.48","259.00","1.0","","50","3"
"531204","8","129","1.98","2","3","316.61","199.00","4.7","","43","3"
"532390","8","147","2.31","4","3","232.64","165.00","3.0","","46","3"
"525308","8","166","2.59","1","1","382.98","191.00","3.0","","49","3"
"528216","8","199","3.09","3","3","332.91","114.33","2.0","0.45","51","3"
"499028","8","116","1.78","3","3","137.77","133.33","3.0","","38","3"
